post_id,title,category,score,num_comments,author,collected_at
47674606,Show HN: Unicode Steganography,technology,54,13,PatrickVuscan,2026-04-09 14:25:25
47622436,Slightly safer vibecoding by adopting old hacker habits,technology,175,93,transpute,2026-04-09 14:25:25
47634422,Native Americans had dice 12k years ago,technology,133,83,delichon,2026-04-09 14:25:25
47698067,You Can Just Print an Air Purifier,technology,30,2,zdw,2026-04-09 14:25:25
47701971,AI and remote work is a disaster for junior software engineers,technology,12,4,gpi,2026-04-09 14:25:26
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,59,9,rvitorper,2026-04-09 14:25:26
47697641,Claude Managed Agents Overview,technology,33,18,NicoJuicy,2026-04-09 14:25:26
47660766,Exposing and Understanding Scrolling Transfer Functions (2012) [pdf],technology,18,0,t23414321,2026-04-09 14:25:26
47693585,How Costco Won in Japan (2025),technology,46,23,gmays,2026-04-09 14:25:26
47692661,Show HN: TUI-use: Let AI agents control interactive terminal programs,technology,48,37,dreamsome,2026-04-09 14:25:26
47648307,Virtual Mars Traverse: Every inch of Curiosity rover's path since 2012 landing,technology,46,17,bookofjoe,2026-04-09 14:25:26
47689319,Show HN: Skrun – Deploy any agent skill as an API,technology,57,10,frizull,2026-04-09 14:25:26
47699426,Formal Verification in Any Language for Everybody (lean 4),technology,10,4,wazHFsRy,2026-04-09 14:25:26
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,105,30,pruz,2026-04-09 14:25:26
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,210,198,bundie,2026-04-09 14:25:28
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,53,24,vkatluri,2026-04-09 14:25:28
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,105,57,indraneelpatil,2026-04-09 14:25:28
47624572,A database of analog cameras that can be 3D printed,technology,164,26,thomasjb,2026-04-09 14:25:28
47685739,Revision Demoparty 2026: Razor1911 [video],technology,373,127,tetrisgm,2026-04-09 14:25:28
47697895,Building a JavaScript runtime in one month,technology,16,6,franciscop,2026-04-09 14:25:28
47700821,"Veteran artist behind Mass Effect, Halo, & Overwatch 2 weighs in on Nvidia DLSS5",technology,15,3,DarrylLinington,2026-04-09 14:25:28
47682276,US and Iran agree to provisional ceasefire,technology,595,1983,g-b-r,2026-04-09 14:25:28
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,66,82,kisamoto,2026-04-09 14:25:28
47699396,Flatpak: Complete Sandbox Escape,technology,13,0,eyberg,2026-04-09 14:25:28
47679258,System Card: Claude Mythos Preview [pdf],technology,832,636,be7a,2026-04-09 14:25:28
47682719,Xilem – An experimental Rust native UI framework,science,139,85,Levitating,2026-04-09 14:25:28
47675372,Has electricity decoupled from natural gas prices in Germany?,technology,141,208,konschubert,2026-04-09 14:25:28
47637665,The Clock,technology,100,42,senko,2026-04-09 14:25:29
47699963,AI Cybersecurity After Mythos: The Jagged Frontier,technology,10,3,evelinag,2026-04-09 14:25:29
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,611,256,zixuanlimit,2026-04-09 14:25:29
47663147,Launch HN: Freestyle – Sandboxes for Coding Agents,technology,321,156,benswerd,2026-04-09 14:25:29
47703065,Session is shutting down in 90 days,technology,45,62,balamatom,2026-04-09 14:25:29
47658104,The Image Boards of Hayao Miyazaki,technology,201,16,vinhnx,2026-04-09 14:25:29
47622717,Study investigates how mass distribution of baseball bat affects performance,technology,24,17,Magi604,2026-04-09 14:25:29
47672295,Every GPU That Mattered,technology,328,204,jonbaer,2026-04-09 14:25:31
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,776,233,sam-bee,2026-04-09 14:25:31
47687464,Mario and Earendil,technology,65,39,doppp,2026-04-09 14:25:31
47678573,Cambodia unveils statue to honour famous landmine-sniffing rat,technology,477,129,speckx,2026-04-09 14:25:31
